iter	Passed	Remaining
418	2298	3186
419	2302	3180
420	2307	3173
421	2312	3167
422	2316	3160
423	2321	3154
424	2326	3148
425	2331	3141
426	2336	3135
427	2341	3129
428	2346	3123
429	2351	3117
430	2356	3111
431	2361	3104
432	2366	3099
433	2371	3092
434	2376	3086
435	2381	3080
436	2385	3073
437	2390	3067
438	2395	3061
439	2400	3055
440	2404	3048
441	2410	3043
442	2415	3037
443	2420	3031
444	2425	3025
445	2430	3018
446	2435	3013
447	2440	3007
448	2445	3001
449	2450	2995
450	2455	2989
451	2460	2983
452	2465	2976
453	2470	2970
454	2474	2964
455	2479	2957
456	2484	2951
457	2489	2946
458	2494	2940
459	2499	2934
460	2505	2929
461	2510	2923
462	2515	2917
463	2519	2910
464	2524	2904
465	2529	2898
466	2533	2891
467	2538	2885
468	2543	2879
469	2548	2873
470	2553	2867
471	2558	2862
472	2563	2856
473	2567	2849
474	2572	2843
475	2577	2837
476	2582	2831
477	2587	2825
478	2592	2819
479	2597	2813
480	2601	2807
481	2606	2801
482	2611	2795
483	2616	2789
484	2620	2783
485	2625	2777
486	2630	2771
487	2635	2765
488	2640	2759
489	2645	2753
490	2649	2746
491	2654	2741
492	2659	2735
493	2664	2729
494	2669	2723
495	2674	2717
496	2679	2711
497	2684	2705
498	2689	2699
499	2694	2694
500	2699	2688
501	2703	2682
502	2708	2676
503	2713	2670
504	2717	2663
505	2722	2657
506	2727	2651
507	2731	2645
508	2736	2639
509	2741	2633
510	2746	2628
511	2751	2622
512	2756	2616
513	2761	2611
514	2766	2605
515	2771	2599
516	2775	2593
517	2781	2587
518	2785	2581
519	2790	2575
520	2795	2570
521	2800	2564
522	2805	2558
523	2809	2552
524	2814	2546
525	2819	2540
526	2824	2534
527	2829	2529
528	2833	2523
529	2838	2517
530	2843	2511
531	2848	2505
532	2852	2499
533	2857	2493
534	2862	2488
535	2867	2482
536	2872	2476
537	2876	2470
538	2881	2464
539	2886	2458
540	2890	2452
541	2895	2447
542	2900	2441
543	2905	2435
544	2910	2429
545	2915	2424
546	2919	2418
547	2924	2412
548	2929	2406
549	2934	2400
550	2939	2394
551	2943	2389
552	2948	2383
553	2953	2377
554	2958	2372
555	2963	2366
556	2967	2360
557	2972	2354
558	2977	2348
559	2982	2343
560	2986	2337
561	2992	2331
562	2997	2326
563	3003	2321
564	3008	2316
565	3013	2310
566	3019	2305
567	3024	2300
568	3029	2294
569	3033	2288
570	3038	2283
571	3043	2277
572	3048	2271
573	3053	2266
574	3058	2260
575	3064	2255
576	3069	2250
577	3074	2244
578	3080	2239
579	3085	2234
580	3089	2228
581	3094	2222
582	3099	2217
583	3104	2211
584	3109	2205
585	3114	2200
586	3119	2194
587	3124	2189
588	3129	2183
589	3134	2178
590	3139	2172
591	3144	2167
592	3149	2161
593	3154	2156
594	3160	2151
595	3165	2145
596	3169	2139
597	3175	2134
598	3180	2129
599	3185	2123
600	3190	2117
601	3195	2112
602	3200	2107
603	3205	2101
604	3210	2096
605	3215	2090
606	3220	2085
607	3225	2079
608	3230	2074
609	3235	2068
610	3240	2062
611	3244	2057
612	3249	2051
613	3254	2045
614	3259	2040
615	3264	2034
616	3269	2029
617	3274	2024
618	3279	2018
619	3284	2012
620	3289	2007
621	3293	2001
622	3298	1995
623	3303	1990
624	3308	1985
625	3312	1979
626	3317	1973
627	3322	1968
628	3327	1962
629	3331	1956
630	3336	1951
631	3341	1945
632	3346	1940
633	3351	1934
634	3356	1929
635	3360	1923
636	3365	1918
637	3370	1912
638	3375	1907
639	3380	1901
640	3385	1895
641	3389	1890
642	3394	1884
643	3399	1879
644	3404	1873
645	3409	1868
646	3413	1862
647	3418	1857
648	3423	1851
649	3428	1846
650	3432	1840
651	3437	1834
652	3442	1829
653	3446	1823
654	3451	1818
655	3456	1812
656	3461	1807
657	3466	1801
658	3471	1796
659	3476	1790
660	3481	1785
661	3486	1779
662	3490	1774
663	3495	1768
664	3500	1763
665	3505	1757
666	3510	1752
667	3515	1747
668	3520	1741
669	3525	1736
670	3530	1731
671	3534	1725
672	3539	1719
673	3544	1714
674	3549	1708
675	3554	1703
676	3558	1697
677	3563	1692
678	3568	1687
679	3573	1681
680	3578	1676
681	3583	1670
682	3587	1665
683	3593	1660
684	3598	1654
685	3602	1649
686	3607	1643
687	3612	1638
688	3617	1632
689	3622	1627
690	3627	1621
691	3632	1616
692	3637	1611
693	3642	1605
694	3647	1600
695	3651	1595
696	3656	1589
697	3661	1584
698	3666	1578
699	3671	1573
700	3676	1568
701	3681	1562
702	3686	1557
703	3690	1551
704	3695	1546
705	3700	1540
706	3705	1535
707	3709	1530
708	3714	1524
709	3719	1519
710	3724	1513
711	3729	1508
712	3734	1503
713	3739	1497
714	3743	1492
715	3748	1487
716	3753	1481
717	3758	1476
718	3763	1470
719	3768	1465
720	3773	1460
721	3778	1454
722	3783	1449
723	3787	1443
724	3792	1438
725	3797	1433
726	3802	1427
727	3807	1422
728	3812	1417
729	3817	1411
730	3821	1406
731	3826	1400
732	3831	1395
733	3836	1390
734	3840	1384
735	3845	1379
736	3850	1373
737	3855	1368
738	3859	1363
739	3864	1357
740	3869	1352
741	3873	1347
742	3878	1341
743	3883	1336
744	3888	1330
745	3893	1325
746	3898	1320
747	3903	1314
748	3907	1309
749	3912	1304
750	3917	1298
751	3921	1293
752	3926	1287
753	3931	1282
754	3935	1277
755	3940	1271
756	3946	1266
757	3951	1261
758	3955	1256
759	3960	1250
760	3965	1245
761	3970	1239
762	3975	1234
763	3980	1229
764	3985	1224
765	3990	1218
766	3994	1213
767	3999	1208
768	4004	1202
769	4009	1197
770	4013	1192
771	4018	1186
772	4023	1181
773	4027	1176
774	4032	1170
775	4037	1165
776	4041	1160
777	4046	1154
778	4051	1149
779	4056	1144
780	4060	1138
781	4065	1133
782	4070	1128
783	4075	1122
784	4080	1117
785	4085	1112
786	4090	1106
787	4094	1101
788	4099	1096
789	4104	1091
790	4109	1085
791	4114	1080
792	4118	1075
793	4123	1069
794	4128	1064
795	4132	1059
796	4137	1053
797	4142	1048
798	4147	1043
799	4152	1038
800	4158	1033
801	4163	1027
802	4169	1022
803	4174	1017
804	4179	1012
805	4184	1007
806	4189	1001
807	4194	996
808	4199	991
809	4204	986
810	4209	980
811	4213	975
812	4218	970
813	4223	965
814	4228	959
815	4232	954
816	4237	949
817	4242	943
818	4247	938
819	4251	933
820	4257	928
821	4262	923
822	4266	917
823	4271	912
824	4276	907
825	4281	901
826	4286	896
827	4291	891
828	4296	886
829	4300	880
830	4305	875
831	4311	870
832	4317	865
833	4322	860
834	4327	855
835	4333	850
836	4339	845
837	4344	839
838	4350	834
839	4355	829
840	4360	824
841	4366	819
842	4372	814
843	4377	809
844	4383	804
845	4389	798
846	4394	793
847	4400	788
848	4406	783
849	4411	778
850	4417	773
851	4422	768
852	4428	763
853	4433	757
854	4439	752
855	4444	747
856	4450	742
857	4455	737
858	4461	732
859	4467	727
860	4473	722
861	4478	717
862	4484	711
863	4490	706
864	4495	701
865	4501	696
866	4507	691
867	4513	686
868	4519	681
869	4524	676
870	4530	671
871	4537	665
872	4542	660
873	4548	655
874	4553	650
875	4559	645
876	4564	640
877	4570	635
878	4575	629
879	4581	624
880	4586	619
881	4591	614
882	4597	609
883	4603	604
884	4608	598
885	4613	593
886	4618	588
887	4623	583
888	4628	577
889	4632	572
890	4637	567
891	4642	562
892	4646	556
893	4651	551
894	4656	546
895	4660	541
896	4673	536
897	4677	531
898	4682	526
899	4687	520
900	4692	515
901	4697	510
902	4701	505
903	4706	499
904	4711	494
905	4716	489
906	4721	484
907	4726	478
908	4731	473
909	4737	468
910	4742	463
911	4747	458
912	4752	452
913	4757	447
914	4762	442
915	4767	437
916	4772	431
917	4777	426
918	4783	421
919	4787	416
920	4793	411
921	4798	405
922	4803	400
923	4808	395
924	4813	390
925	4818	385
926	4822	379
927	4827	374
928	4832	369
929	4837	364
930	4841	358
931	4846	353
932	4851	348
933	4855	343
934	4860	337
935	4865	332
936	4871	327
937	4875	322
938	4880	317
939	4885	311
940	4890	306
941	4895	301
942	4900	296
943	4905	290
944	4909	285
945	4914	280
946	4919	275
947	4924	270
948	4928	264
949	4933	259
950	4938	254
951	4943	249
952	4948	244
953	4953	238
954	4958	233
955	4963	228
956	4968	223
957	4973	218
958	4977	212
959	4982	207
960	4987	202
961	4992	197
962	4997	192
963	5002	186
964	5007	181
965	5011	176
966	5016	171
967	5022	166
968	5026	160
969	5032	155
970	5037	150
971	5042	145
972	5047	140
973	5052	134
974	5057	129
975	5062	124
976	5067	119
977	5072	114
978	5079	108
979	5085	103
980	5089	98
981	5094	93
982	5099	88
983	5104	83
984	5109	77
985	5114	72
986	5119	67
987	5124	62
988	5129	57
989	5133	51
990	5138	46
991	5143	41
992	5149	36
993	5154	31
994	5159	25
995	5164	20
996	5170	15
997	5174	10
998	5180	5
999	5185	0
